map_no,template_no,question,ground_truth,verified answer,c_or_d,relative_region (y/n),
4270,39,Yes or no: all states bordering Texas have values in the same range.,No,No,d,Y,
4270,28,Which state bordering Colorado has the same value as Texas?,Arizona,Arizona,,Y,
4270,2,Yes or no: in the legend the colour intensity is directly proportional to the value.,Yes,Yes,,N,
4270,19,Yes or no: the value of Nevada is higher than California.,Yes,Yes,,N,
4270,22,Yes or no: States bordering Canada have higher values on average than states bordering Mexico.,Yes,Yes,,N,
4270,32,Yes or no: Idaho is an outlier compared to other states bordering Canada.,No,No,,N,
4270,7,Is the legend discrete or continuous?,Discrete,Discrete,,N,
4270,16,What value range does New York fall in?,1603-1819,1603-1819,,N,
4270,21,Yes or no: Pennsylvania has the highest value among the states bordering the Great Lakes.,No,No,,N,
4270,18,Yes or no: the value of Florida is similar to its neighbouring state Georgia.,Yes,Yes,,N,lc
18348,6,Yes or no: the map depicts percentages.,Yes,Yes,d,N,
18348,12,What is the highest value range in the west coast region?,54-62.6%,54-62.6%,,N,
18348,32,Yes or no: Minnesota is an outlier compared to other states bordering Canada.,Yes,Yes,,N,
18348,8,Which class has the largest range of values?,37.1-52.9%,37.1-52.9%,,N,
18348,29,Which range has the least number of states?,37.1-52.9%,37.1-52.9%,,N,
18348,27,Which states in the north east region has the similar valua as Montana?,"New York, Vermont, Massachusetts, Rhode Island","New York, Vermont, Massachusetts, Rhode Island",,N,
18348,36,Name the southern most state in the range 63.2-74%.,Texas,Texas,,N,
18348,22,Yes or no: States in the west coast have lower values on average than states in the east coast.,Yes,Yes,,N,
18348,13,Which state has the least value in the west coast?,California,California,,N,
18348,2,Yes or no: in the legend the colour intensity is inversely proportional to the value.,Yes,No,,N,lc
6616,21,Yes or no: Idaho has higher value as Colorado.,No,No,d,N,
6616,16,What value range does state Indiana fall in?,39.4 - 43.7%,39.4 - 43.7%,,N,
6616,20,Name the southern-most state that belongs to a similar value range compared to all its neighbours.,Florida,Florida,,Y,
6616,42,Yes/No: Florida has a similar value as Illinois and also have a higher value than New York.,No,No,,N,
6616,9,Does New York fall in range 30.9%?,No,No,,N,
6616,35,How many states bordering California have a value similar to North Carolina?,"Nevada, Oregon",2,,Y,
6616,27,Which states bordering Mexico have a value higher than Kansas?,"California, Texas, New Mexico","California, Texas, New Mexico",,N,
6616,19,Yes or no: the value of Georgia is similar to Texas.,Yes,Yes,,N,
6616,3,What is the overall range of the legend?,30.9-50.4%,30.9-50.4%,,N,
6616,41,Are the legends evenly spaced ?,No,No,,N,lc
6616,43,"Rank the states Texas, Montana, and Minnesota in terms of the legend value in the Border States region?",Minnesota < Montana < Texas,Minnesota < Montana < Texas,,Y,
30,18,Yes or no: the value of Ohio is lower than its neighbouring state West Virginia.,No,No,d,N,
30,11,Which states bordering the Great Lakes belong to the range 74400-93200?,Illinois,Illinois,,N,
30,4,What value range does the second darkest shade represent?,74400-93200,74400-93200,,N,
30,33,Yes or no: Montana and Wyoming are a pair of bordering states with the highest difference.,No,No,,Y,
30,28,Which state along the Canada border has the same value as Louisiana?,Washington,"Washington, Michigan, Ohio, Pennsylvania",,N,
30,16,What value range does Florida fall in?,134900-293900,134900-293900,,N,
30,39,Yes or no: all states bordering Montanahave values in range 3800-31500,Yes,Yes,,Y,
30,5,Yes or no: the legend has multiple distinct colours?,No,Yes,,N,
30,7,Is the legend discrete or continuous?,Discrete,Discrete,,N,
30,15,List the state bordering New Mexico with the highest value.,Texas,Texas,,Y,lc
30,43,"Rank the states Maine, Georgia, and Florida in terms of the legend value in the East Coast region?",Maine < Georgia < Florida,Maine < Georgia < Florida,,Y,
19,21,Yes or no: Texas has the least value in the southern region.,No,No,d,N,
19,30,Does Florida have the same value as New York amongst the east coast states?,Yes,Yes,,N,
19,31,"Yes or no: a majority of states bordering Canada belong to range 5,69,400-3,030,400.",Yes,Yes,,N,
19,1,How many distinct categories does the legend contain?,4,4,,N,
19,34,Yes or no: New York is the northern-most state that has a higher value compared to all its neighbours.,Yes,Yes,,Y,
19,36,Which is the Northern most state with a value in the highest range?,New York,New York,,N,
19,21,Yes or no: Idaho has higher value than Iowa.,No,No,,N,
19,16,What value range does state California fall in?,"12,491,200-38,441,400","12,491,200-38,441,400",,N,
19,15,Which state on the west coast has the lowest value?,California,Oregon,,N,
19,41,Are there significant gaps between certain ranges the legend?,Yes,Yes,,N,lc
19,43,"Rank the states California, Arizona, and New Mexico in terms of the legend value in the Mexico Border region?",New Mexico < Arizona < Texas,New Mexico < Arizona < Texas,,Y,
1950,30,Does Florida have the most different value than Maine amongst the eastern coast states.,Yes,Yes,d,N,
1950,32,Yes or no: Florida is an outlier compared to other states bordering Atlantic ocean.,Yes,Yes,,Y,
1950,18,Yes or no: the value of California is similar to its neighbouring state Nevada.,Yes,Yes,,N,
1950,2,Yes or no: in the legend the colour intensity is directly proportional to the value.,Yes,Yes,,N,
1950,6,Yes or no: the map depicts absolute values.,Yes,No,,N,
1950,3,What is the overall range of the legend?,0-4,0-4,,N,
1950,16,What value range does Washington fall in?,2-4,2-4,,N,
1950,8,Which class has the largest range of values?,2-4,2-4,,N,
1950,15,List the states bordering Lake Superior with the highest value.,None,None,,N,
1950,34,Yes or no: Maine is the northern-most state that has a similar value compared to all its neighbours.,Yes,Yes,,Y,lc
2453,7,Is the legend discrete or continuous?,Discrete,Discrete,d,N,
2453,22,Yes or no: States on Canada border have higher values on average than states on the east coast.,No,No,,N,
2453,12,What is the least value range along the Canada border?,55.1-60.3%,55.1-60.3%,,N,
2453,26,Which states along the Mexico border have a value lower than Washington?,"Arizona, New Mexico, and Texas","Arizona, New Mexico, and Texas",,N,
2453,35,How many states bordering Missouri have a value similar to Connecticut?,3,3,,Y,
2453,4,What value range does the second lightest shade represent?,55.1-60.3%,55.1-60.3%,,N,
2453,28,Which state on the west coast has the same value as South Carolina?,California,California,,N,
2453,40,Which pair of states belonging to the lowest range are the closest to each other?,"Arizona, New Mexico, and Texas","Arizona, New Mexico, and Texas",,N,
2453,36,Name the western most state in the highest range.,Utah,Utah,,N,
2453,11,Which states along the Canada border belong to range 55.1-60.3%?,"Idaho, Montana, Maine","Idaho, Montana, Maine",,N,lc
2453,43,"Rank the states Utah, Nevada, and Colorado in terms of the legend value in the Mountain States region?",Nevada < Colorado < Utah,Nevada < Colorado < Utah,,,
1220,37,Which states bordering Lake Superior have missing data?,None,None,d,N,
1220,20,Name the northern most state that belongs to a higher range compared to all its neighbours.,New York,New York,,Y,
1220,33,Yes or no: Utah and Arizona are the pair of bordering states with the highest difference.,No,No,,Y,
1220,41,Are the legends evenly spaced?,No,No,,N,
1220,31,Yes or no: All the states bordering Montana belong to the same range.,Yes,Yes,,Y,
1220,27,Which state bordering the Great Lakes have a value similar to Texas?,New York,New York,,N,
1220,7,Is the legend discrete or continuous?,Discrete,Discrete,,N,
1220,19,Yes or no: the value of Nevada is similar to Washington.,No,No,,N,
1220,1,How many distinct categories does the legend contain?,4,4,,N,
1220,9,Does New York fall in range 4037892-12298138?,Yes,Yes,,N,lc
1220,43,"Rank the states Arizona, New Mexico, and Texas in terms of the legend value in the Southwest region?",New Mexico < Arizona < Texas,New Mexico < Arizona < Texas,,Y,
957,7,Is the legend discrete or continuous?,Continuous,Continuous,c,N,
957,5,Yes or no: the legend has different shades of the same colour?,Yes,Yes,,N,
957,39,Yes or no: all states bordering North Carolina have values in the same range.,No,No,,Y,
957,42,Yes/No: Connecticut has a higher value than Idaho and also have a similar value as Oklahoma.,No,No,,N,
957,21,Yes or no: Florida has the highest value on the east coast.,No,No,,N,
957,15,List the states along the Mexico border in the highest value range.,None,None,,N,
957,28,Which state in the west coast region has the same value to state Illinois?,"California, Washington","California, Washington",,N,
957,41,Are the legends evenly spaced ?,Yes,Yes,,N,
957,15,List the west coast states with the lowest values.,Alaska,"California, Washington",,N,
957,33,Yes or no: Virginia and Maryland are a pair of bordering states with the same value.,Yes,Yes,,Y,lc
957,43,"Rank the states Illinois, Indiana, and Iowa in terms of the legend value in the Midwest region?",Iowa < Indiana < Illinois,Iowa < Indiana < Illinois,,Y,
2024,4,What value range does the darkest shade represent?,10.6-12.5%,10.6-12.5%,d,N,
2024,35,How many states bordering Canada have a value lower than New Mexico?,6,6,,N,
2024,7,Is the legend discrete or continuous?,Discrete,Discrete,,N,
2024,8,Which class has the largest range of values?,4-9.2%,4-9.2%,,N,
2024,16,What value range does New Hampshire fall in?,10.6-12.5%,10.6-12.5%,,N,
2024,21,Yes or no: New Mexico has the highest value along the Mexico border.,Yes,Yes,,N,
2024,11,Which states bordering New York belong to range 10.6-12.5%?,None,None,,Y,
2024,20,Name the eastern-most state that belongs to a higher value range compared to all its neighbours.,New Hampshire,New Hampshire,,Y,
2024,3,What is the overall range of the legend?,4-12.5%,4-12.5%,,N,
2024,9,Does Texas fall in the range 9.4-10.5%?,Yes,Yes,,N,lc
2024,43,"Rank the states Kansas, Nebraska, and Oklahoma in terms of the legend value in the Great Plains region?",Kansas = Nebraska < Oklahoma,Kansas = Nebraska < Oklahoma,,Y,
584,21,Yes or no: Oklahoma has higher value as Maine.,Yes,Yes,d,N,
584,32,Yes or no: New Hampshire is an outlier compared to other states in the northeast region.,Yes,Yes,,N,
584,22,Yes or no: States bordering Atlantic Ocean have higher values on average than states bordering Pacific ocean.,Yes,Yes,,Y,
584,41,Are the legends evenly spaced?,No,No,,N,
584,34,Yes or no: South Carolina is the eastern-most state that has a similar value compared to all its neighbours.,Yes,Yes,,Y,
584,31,Yes or no: All the states bordering Mississippi belong to range 355-425.,Yes,Yes,,Y,
584,2,Yes or no: in the legend the colour intensity is directly proportional to the value.,Yes,Yes,,N,
584,30,Does Maine have the same value as New York amongst the states in the north-east region.,No,No,,N,
584,39,Yes or no: all states in northeast region have values above 300.,No,No,,N,
584,5,Yes or no: the legend has different shades of the same colour?,Yes,No,,N,lc
488,7,Is the legend discrete or continuous?,Discrete,Discrete,d,N,
488,28,Which states bordering North Dakota has the same value as North Carolina?,"Montana, South Dakota, Minnesota","Montana, South Dakota, Minnesota",,Y,
488,19,Yes or no: the value of North Dakota is higher than Alabama.,No,No,,N,
488,6,Yes or no: the map depicts percentages.,No,No,,N,
488,12,What is the highest value range in the northeast region?,35-41,27-34,,N,
488,26,Which states bordering Mexico have a value lower than Michigan?,New Mexico,"Arizaon, California",,N,
488,1,How many distinct categories does the legend contain?,4,4,,N,
488,42,Yes/No: South Carolina has a similar value as Idaho and also have a similar value as New Mexico.,No,No,,N,
488,18,Yes or no: the value of North Carolina is similar to its neighbouring state South Carolina.,Yes,Yes,,N,
488,36,Name the western most state in the range 44-57.,Utah,Utah,,N,lc
488,43,"Rank the states Idaho, Montana, and Utah in terms of the legend value in the Canada Border region?",Montana < Idaho < Utah,Montana < Idaho < Utah,,Y,
11349,15,Which states bordering Lake Michigan have the highest value?,"Wisconsin, Michigan","Wicsonsin, Michingan, Illinois",d,N,
11349,33,Yes or no: California and Oregon are the pair of bordering states with the highest difference.,No,No,,Y,
11349,32,Yes or no: Georgia is an outlier compared to other states in the east coast region.,No,No,,N,
11349,1,How many distinct categories does the legend contain?,3,3,,N,
11349,28,Which state along the Mexico border has the same value as Idaho?,Texas,Texas,,N,
11349,37,Which states have missing data?,None,None,,N,
11349,26,Which states in the west coast region have a value in the range 21.1-35.8%?,"Oregon, Alaska",Oregon,,N,
11349,2,Yes or no: in the legend the colour intensity is inversely proportional to the value.,Yes,Yes,,N,
11349,6,Yes or no: the map depicts percentages.,Yes,Yes,,N,
11349,4,What value range does the lightest shade represent?,38.2-42.4%,38.2-42.4%,,N,lc
1136,2,Yes or no: in the legend the colour intensity is directly proportional to the value.,Yes,Yes,d,N,
1136,15,Which state along the Canada border has the least value?,Alaska,Alaska,,N,
1136,7,Is the legend discrete or continuous?,Discrete,Discrete,,N,
1136,4,What value range does the lightest shade represent?,0%,0%,,N,
1136,3,What is the overall range of the legend?,0-100%,0-100%,,N,
1136,7,Is the legend discrete or continuous?,Discrete,Discrete,,N,
1136,16,What value range does state New York fall in?,94-100%,94-100%,,N,
1136,39,Yes or no: all states along the Canada border have values in the same range.,No,No,,N,
1136,36,Name the West-most state in the range 42-93%.,Utah,Utah,,N,
1136,32,Yes or no: North Dakota is an outlier compared to other states bordering Canada.,Yes,Yes,,N,
109,39,Yes or no: all states bordering Alabama have values 7-15.6% .,No,No,d,Y,
109,2,Yes or no: in the legend the colour intensity is inversely proportional to the value.,No,No,,N,
109,3,What is the overall range of the legend?,7-34.2%,7-34.2%,,N,
109,41,Are the legends evenly spaced?,No,No,,N,
109,9,Does New York state fall in the range 29.1-34.2%?,No,No,,N,
109,4,What value range does the darkest shade represent?,29.1-34.2%,29.1-34.2%,,N,
109,20,Name the Southern-most state that belongs to a similar value range compared to all its neighbours.,Alabama,South Carolina,,Y,
109,42,Yes/No: North Carolina has a similar value as Michigan and also have a similar value than state California.,No,No,,N,
109,1,How many distinct categories does the legend contain?,4,5,,N,
109,35,How many states bordering Wyoming have a value higher than state Massachusetts?,None,None,,Y,lc
109,43,"Rank the states Minnesota, Wisconsin, and Michigan in terms of the legend value in the Great Lakes region?",Michigan < Wisconsin < Minnesota,Michigan < Wisconsin < Minnesota,,Y,
3689,7,Is the legend discrete or continuous?,Discrete,Discrete,d,N,
3689,33,Yes or no: California and Nevada are a pair of bordering states with the highest difference.,Yes,Yes,,Y,
3689,12,What is the second highest value range in the legend?,1342089-1948189,1342089-1948189,,N,
3689,7,Is the legend discrete or continuous?,Discrete,Discrete,,N,
3689,23,How many states bordering Lake Superior have missing data?,None,None,,N,
3689,27,Which states on the western coast have a value similar than state North Carolina?,None,None,,N,
3689,26,Which states along the Canada border have a value similar to Florida?,New York,New York,,N,
3689,21,Yes or no: state New Mexico has the least value among states bordering Mexico.,Yes,Yes,,N,
3689,5,Yes or no: the legend has multiple distinct colours?,No,Yes,,N,
3689,16,What value range does state West Virginia fall in?,38046-507934,38046-507934,,N,abhishek verification till here
3689,43,"Rank the states Tennessee, Kentucky, and Arkansas in terms of the legend value in the Mid-South region?",Arkansas < Kentucky < Tennessee,Arkansas < Kentucky < Tennessee,,Y,
2769,2,Yes or no: in the legend the colour intensity is directly proportional to the value.,No,No,d,N,
2769,15,Which state on the East Coast has the highest value?,"Massachusetts, Rhode Island, New York, New Jersey","Massachusetts, Rhode Island, New York, New Jersey",,N,
2769,21,Yes or no: New York has the same value as Florida.,No,No,,N,
2769,17,Count the states with the values in range 3%-7% in the east coast.,"New York, New Jersey, Rhode Island",4,,N,
2769,30,Does state Missouri have the same value to state Utah.,Yes,Yes,,N,
2769,32,Yes or no: state Maine is an outlier compared to other states in the north-east region.,No,No,,N,
2769,19,Yes or no: the value of the state Florida is higher to state Idaho.,Yes,Yes,,N,
2769,6,Yes or no: the map depicts percentages.,Yes,Yes,,N,
2769,36,Name the Southern most state in the range 3-7%.,Florida,Florida,,N,
2769,29,Which range has the highest number of states?,0-2%,0-2%,,N,
9071,15,Which state on the Canada border has the highest value?,Washington,Washington,d,N,
9071,9,Does New York fall in range above 30?,Yes,Yes,,N,
9071,18,Yes or no: the value of the state Massachusetts is similar to its neighbouring state Connecticut.,Yes,Yes,,N,
9071,31,Yes or no: a majority of states bodering Canada belong to the highest range.,No,No,,N,
9071,34,Yes or no: North Carolina is the Eastern most state that has a higher value compared to all its neighbours.,No,No,,Y,
9071,13,Which state has the highest value in the west coast region?,No,California,,N,
9071,18,Yes or no: the value of the state New York is higher than its neighbouring state Pennsylvania.,Yes,Yes,,N,
9071,40,Which pair of states belonging to the range 75-207 are the closest to each other?,"New York, New Jersey","New York, New Jersey",,N,
9071,30,Does Texas have the same value as New Mexico amongst the states along the Mexico border.,No,No,,N,
9071,19,Yes or no: the value of Illinois is the same as Indiana.,No,No,,N,
8083,22,Yes or no: States bordering lake Superior have a higher value on average than states bordering Mexico.,No,No,d,N,
8083,28,Which state in the west coast region has the same value as state Illinois?,None,None,,N,
8083,4,What value range does the second lightest shade represent?,1816358-3613005,1816358-3613005,,N,
8083,21,Yes or no: Nebraska has the highest value in the northern region.,No,No,,N,
8083,34,Yes or no: Maine is the Northern-most state that has a lower value compared to all its neighbours.,No,No,,Y,
8083,32,Yes or no: North Carolina is an outlier compared to other states in its neighbouring region.,No,No,,N,
8083,37,Which states have missing data?,None,None,,N,
8083,27,Which states neighbouring New Mexico have a value lower than New York?,"Arizona, Colorado, Oklahoma","Arizona, Colorado, Oklahoma",,N,
8083,2,Yes or no: in the legend the colour darkness inversely proportional to the value.,No,No,,N,
8083,15,List the southern most state with the lowest value.,Mississippi,Mississippi,,N,
8083,43,"Rank the states Georgia, Alabama, and Mississippi in terms of the legend value in the South region?",Mississippi < Alabama < Georgia,Mississippi < Alabama < Georgia,,Y,
10121,18,Yes or no: the value of the state Pennsylvania is lower than its neighbouring state New York.,Yes,Yes,d,N,
10121,7,Is the legend discrete or continuous?,Discrete,Discrete,,N,
10121,12,What is the second least value range in the west coast region?,161-390,161-390,,N,
10121,9,Does state Montana fall in the same range as Maine?,Yes,Yes,,N,
10121,19,Yes or no: the value of the state Maine is higher to state Louisiana.,No,No,,N,
10121,37,Which state in the north-east region borders at least two states from the highest range?,None,Pennsylvania,,Y,
10121,20,Name the western-most state that belongs to a similar value range compared to atleast 2 of its neighbours.,Nevada,Nevada,,Y,
10121,41,Are the legends evenly spaced ?,No,No,,N,
10121,18,Yes or no: the range of Utah is lower than its neighbouring state Arizona.,No,No,,N,
10121,39,Yes or no: all states bordering Florida have values in the same range.,No,No,,Y,
11274,18,Yes or no: the value of the state Oklahoma is same as its neighbouring state Arkansas.,Yes,Yes,d,N,
11274,9,"Does state Michigan come under the value 54,700 - 1,20,300?",Yes,Yes,,N,
11274,7,Is the legend discrete or continuous?,Discrete,Discrete,,N,
11274,13,Which state has the second highest value in the west coast region?,Washington,Washington,,N,
11274,3,What is the overall range of the legend?,3900 - 809600,3900 - 809600,,N,
11274,11,"Which states along the Mexico border belong to range 249,100 - 809,600?",No,"California, Texas",,N,
11274,33,Yes or no: North Dakota and South Dakota are the pair of bordering states with the highest difference.,No,No,,Y,
11274,42,Yes/No: Illinois has a similar value as Texas and both also have a higher value than Nevada.,No,No,,N,
11274,35,How many states bordering Canada have a value similar to Texas?,1,1,,N,
11274,37,Which states have missing data?,Discrete,None,,N,
8391,9,Does New York fall in range 1.2-1.4 M?,No,No,c,N,
8391,3,What is the overall range of the legend?,0.2M - 1.6M,0.2M - 1.6M,,N,
8391,6,Yes or no: the map depicts absolute values.,Yes,Yes,,N,
8391,19,Yes or no: the value of Nevada is greater than Washington.,No,No,,N,
8391,36,Name easternmost state with a value > 1M.,Florida,Florida,,N,
8391,28,Which state has the same value as Florida?,None,None,,N,
8391,7,Is the legend discrete or continuous?,Continuous,Continuous,,N,
8391,20,Name the northern most state that belongs to a higher range compared to all its neighbours.,New York,New York,,Y,
8391,27,Which state bordering Lake Huron have a value higher than New York?,None,None,,N,
8391,11,Which states along the Canada border belong to range 1.2-1.4M?,None,None,,N,
8391,26,Which states along the Mexico border have a value higher than Washington?,Yes,"Californa, Texas",,N,
17382,2,Yes or no: in the legend the colour intensity is inversely proportional to the value.,No,No,d,N,
17382,37,Which states have missing data?,None,None,,N,
17382,16,What value range does state North Dakota fall in?,1696-9561,1696-9561,,N,
17382,4,What value range does the second lightest shade represent?,"10,266-21,935","10,266-21,935",,N,
17382,33,Yes or no: New York and Connecticut are a pair of bordering states with the highest difference in range value.,Yes,Yes,,Y,
17382,32,Yes or no: California is an outlier compared to other states bordering Pacific ocean.,Yes,Yes,,Y,
17382,39,Yes or no: all states bordering North Carolina have values in the same range.,Yes,Yes,,Y,
17382,34,Yes or no: Maine is the northern-most state that has a similar value compared to all its neighbours.,Yes,Yes,,Y,
17382,26,Which states along the Mexico border have a value lower than Washington?,New Mexico,New Mexico,,N,
17382,18,Yes or no: the value of California is similar to its neighbouring state Nevada.,No,No,,N,
17382,43,"Rank the states California, Florida, and Texas in terms of the legend value in the Sun Belt region?",California = Florida = Texas,California = Florida = Texas,,Y,
11719,15,Which states bordering Lake Michigan have the highest value?,Indiana,Indiana,d,N,
11719,7,Is the legend discrete or continuous?,Discrete,Discrete,,N,
11719,16,What value range does state Florida fall in?,1.6-2.3%,1.6-2.3%,,N,
11719,22,Yes or no: States on west coast have higher values on average than states on the east coast.,No,No,,N,
11719,30,Does Florida have the most different value than Maine amongst the eastern coast states.,No,No,,N,
11719,2,Yes or no: in the legend the colour intensity is directly proportional to the value.,Yes,Yes,,N,
11719,40,Which pair of states belonging to the highest range are the closest to each other?,"Virginia, North Carolina","Virginia, North Carolina",,N,
11719,35,How many states bordering Missouri have a value similar to Connecticut?,2,2,,Y,
11719,12,What is the least value range along the Canada border?,0.4-0.9%,0.4-0.9%,,N,
11719,5,Yes or no: the legend has different shades of the same colour?,Yes,Yes,,N,
12175,21,Yes or no: New York has the highest value in the northeastern region.,Yes,Yes,d,N,
12175,7,Is the legend discrete or continuous?,Discrete,Discrete,,N,
12175,22,Yes or no: States bordering lake Superior have a higher value on average than states bordering Mexico.,No,No,,N,
12175,11,Which state has the highest value along the Canada border,"Oregon, Washington",New York,,N,
12175,20,Name the westernmost state that has a higher value than all its neighbours.,California,California,,,
12175,27,Which states neighbouring New Mexico have a value lower than New York?,"Colorado, Oklahoma, Utah","Colorado, Oklahoma",,N,
12175,35,How many states bordering Canada have a value similar to Texas?,1,1,,N,
12175,32,Yes or no: North Carolina is an outlier compared to other states in its neighbouring region.,No,No,,N,
12175,33,Yes or no: North Dakota and South Dakota are the pair of bordering states with the highest difference.,No,No,,Y,
12175,18,Yes or no: the value of the state Utah is lower than its neighbouring state Arizona.,Yes,Yes,,N,
12175,16,What value range does state Mississippi fall in?,219-522,219-522,,N,
12788,7,Is the legend discrete or continuous?,Discrete,Discrete,d,N,
12788,21,Yes or no: Rhode Island has the same value as Utah.,No,No,,N,
12788,35,How many states along the Canada border have value similar to Arizona,Nevada,3,,N,
12788,37,Which is the westernmost state that borders at least two states from the highest range?,,Nevada,,,
12788,5,Yes or no: the legend has multiple distinct colours?,No,No,,N,
12788,40,Which pair of states belonging to the highest range are the closest to each other along the Mexico border?,"California, Texas","California, Texas",,N,
12788,6,Yes or no: the map depicts percentages.,Yes,Yes,,N,
12788,3,What is the overall range of the legend?,10.9-35.3%,10.9-35.3%,,N,
12788,31,Yes or no: a majority of states bordering Mexico have values greater than North Dakota.,Yes,Yes,,N,
12788,34,Yes or no: Maine is the Northern-most state that has a lower value compared to all its neighbours.,No,No,,Y,
12788,4,What value range does the second lightest shade represent?,15.9-21%,15.9-21%,,N,
1267,15,List the states in the east coast with highest values,Alaska,New York and Florida,c,N,
1267,11,Which states on the West coast have a vlue lower than 0.5 million?,Oregon,Oregon,,,
1267,26,Which states bordering Canada have a value higher than California?,None,None,,N,
1267,2,Yes or no: in the legend the colour darkness inversely proportional to the value.,No,No,,N,
1267,19,Yes or no: the value of the state Maine is higher to state Louisiana.,No,No,,N,
1267,37,Which states have missing data?,None,None,,N,
1267,28,Which state in the east coast region has value similar to Florida?,New York,New York,,N,
1267,7,Is the legend discrete or continuous?,Continuous,Continuous,,N,
1267,13,Which state has the highest value in the west coast region?,California,California,,N,
1267,9,Does state Montana fall in the same legend marking range as Maine?,Yes,Yes,,N,
1267,42,Yes/No: Illinois has a similar value as Texas and also have a higher value than Nevada.,No,No,,N,
1267,43,"Rank the states Washington, Oregon, and Idaho in terms of the legend value in the Pacific Northwest region?",Idaho < Oregon < Washington,Idaho < Oregon < Washington,,Y,
14598,30,Does Florida have the same value to Georgia amongst the states in the south-east region.,No,No,d,N,
14598,12,What is least value range in the West coast?,308-444,308-444,,,
14598,39,Yes or no: all states bordering Florida have values in the same range.,No,No,,Y,
14598,19,Yes or no: the value of New York is similar to New Jersey.,Yes,Yes,,N,
14598,18,Yes or no: the value of Iowa is higher than its neighbouring state Illinois.,Yes,Yes,,N,
14598,30,Does New York have the same range value as North Dakota?,Yes,Yes,,N,
14598,4,What value range does the darkest shade represent?,564-862,564-862,,N,
14598,1,How many distinct categories does the legend contain?,4,4,,N,
14598,36,Name the northern most state in the highest range.,North Dakota,North Dakota,,N,
14598,15,List the southern most state with the value in lowest range.,Texas,Texas,,N,
15061,35,How many states along the west coast have a value higher than New York?,2,2,d,N,
15061,7,Is the legend discrete or continuous?,Discrete,Discrete,,N,
15061,5,Yes or no: the legend has different shades of the same colour?,No,No,,N,
15061,37,Which state in the range 44000-130400 doesn't border any states from 9000-17900?,None,None,,N,
15061,3,What is the overall range of the legend?,1700-130400,1700-130400,,N,
15061,16,What value range does Florida fall in?,"23,300","23,300",,N,
15061,20,Name the southernmost state that belongs to a similar range as all its neighbours.,Ohio,Ohio,,Y,
15061,26,Which states bordering Canada have a value lower than 8200?,"Minnesota, New York","Minnesota, New York",,N,
15061,11,Which states bordering Arizona belong to range 1700-8200?,Colorado,Colorado,,Y,
15061,4,What value range does the darkest shade represent?,1700-8200,1700-8200,,N,
20584,33,Yes or no: California and Nevada are the pair of bordering states with the highest difference.,Yes,Yes,c,Y,
20584,40,Which pair of state with values above 8M are closest to one another?,"Florida, Texas","Florida, Texas",,,
20584,39,Yes or no: all states bordering Maine have values in range 0-2M.,Yes,Yes,,Y,
20584,31,Yes or no: a majority of states bordering Canada belong to range less than 6M.,Yes,Yes,,N,
20584,42,Yes/No: Texas has a higher value than Florida and also a lower value than California.,Yes,Yes,,N,
20584,16,What value range (legend markings wise) does Texas fall in?,12-14M,10-12M,,N,
20584,21,Yes or no: New York has the highest value in the Canada border region.,Yes,Yes,,N,
20584,9,Does Montana fall in range 0-2M?,Yes,Yes,,N,
20584,13,Which state has the least value on the west coast?,Alaska,Oregon,,N,
20584,7,Is the legend discrete or continuous?,Continuous,Continuous,,N,
13555,2,Yes or no: in the legend the colour intensity is inversely proportional to the value.,No,No,c,N,
13555,34,Yes or no: New York is the northern most state with value > 1M that has a higher value compared to all its neighbours.,Yes,Yes,,Y,
13555,12,What is the highest value range in the east coast region?,2.5-3M,2.5-3M,,N,
13555,3,What is the overall range of the legend?,0-4M,0-4M,,N,
13555,36,Name the western-most state in the range 3.5-4M.,California,California,,N,
13555,27,Which states bordering California have a value higher than Texas?,None,None,,Y,
13555,15,List the 1 state on the Canada border region with the highest values.,New York,New York,,N,
13555,6,Yes or no: the map depicts absolute values as opposed to percentages.,Yes,Yes,,N,
13555,32,Yes or no: Florida is an outlier compared to other states on the east coast.,Yes,Yes,,N,
13555,22,Yes or no: States bordering Lake Superior have higher values on average than states bordering Mexico.,No,No,,N,
13555,43,"Rank the states Illinois, Michigan, and Wisconsin in terms of the legend value in the Great Lakes region?",Wisconsin < Michigan < Illinois,Wisconsin < Michigan < Illinois,,Y,
13396,2,Yes or no: in the legend the colour intensity is directly proportional to the value.,No,No,c,N,
13396,9,Does Alabama fall in range above 90?,Yes,Yes,,N,
13396,7,Is the legend discrete or continuous?,Continuous,Continuous,,N,
13396,41,Are the legends evenly spaced?,Yes,Yes,,N,
13396,5,Yes or no: the legend has different shades of the same colour?,Yes,Yes,,N,
13396,12,What value range does Oklahoma fall in?,<30,80-90,,N,
13396,40,Which pair of states belonging to the range >90 are the closest to each other?,"Mississippi, Alabama","Mississippi, Alabama",,N,
13396,2,Yes or no: in the legend the colour intensity is inversely proportional to the value.,Yes,Yes,,N,
13396,37,Which state in with value >90 borders at least 2 states from range 80-90?,None,None,,Y,
13396,3,What is the overall range of the legend (markings)?,30 - 90,30 - 90,,N,
12430,16,Which value range does Colorado fall in?,Utah,245-514,d,N,
12430,35,How many states bordering Texas have a value similar to Nevada?,"Florida, New York, Pennsylvania",3,,Y,
12430,15,Which state to the west of Idaho has the highest value?,California,California,,Y,
12430,9,Does New York have a value above 865?,Yes,Yes,,N,
